id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38594935,「no.2」New apartment/2 bedrooms/for 4-6 people,69641549,Yun,,Melbourne,-37.79643,144.93993,Entire home/apt,178,1,21,2021-12-04,0.75,6,89,4,
38595358,「no.7」 New apartment/1- bedroom/for 1-4 people/CBD,69641549,Yun,,Melbourne,-37.79775,144.93996,Entire home/apt,144,1,30,2021-12-18,1.07,6,83,11,
38606527,Brand New House in East Melbourne  for rent,132005658,Hilda Lin,,Casey,-38.10635,145.24713,Private room,66,1,49,2021-12-19,1.75,4,254,21,
38612256,Queen Bedroom next to the Botanic Gardens,38980651,Simeon,,Melbourne,-37.83537,144.97804,Private room,166,2,15,2021-12-16,0.54,2,85,2,
38613223,Aurora Melbourne Central (City),219599049,凯淩,,Melbourne,-37.81078,144.96375,Private room,85,1,1,2020-01-23,0.04,1,0,0,
38616702,Teds Throne - Queen Bed Room + Private En-suite,139177631,Theodore,,Wyndham,-37.86446,144.73476,Private room,38,3,16,2020-03-31,0.57,2,342,0,
38617504,Sunny apartment in Arden Garden,99963961,Jack,,Melbourne,-37.79699,144.93909,Private room,45,2,7,2019-12-17,0.25,3,0,0,
38623999,St. Kilda in Style - perfect for self isolation,6242950,Renee,,Port Phillip,-37.87201,144.98334,Entire home/apt,90,30,13,2020-03-27,0.51,1,0,0,
38625259,Room close to the city,176469034,Fabian,,Maribyrnong,-37.78132,144.89302,Private room,35,1,16,2020-03-20,0.58,1,0,0,
38627329,standard room 02,293004400,Frank,,Casey,-38.00624,145.27488,Private room,120,1,3,2020-05-23,0.12,3,365,0,
38627925,Viva La Vida - St Kilda,26557960,Brenda,,Port Phillip,-37.8606,144.97393,Entire home/apt,170,4,3,2020-03-15,0.11,1,14,0,
38630913,St Albans In,295052932,Huy,,Brimbank,-37.73279,144.80122,Entire home/apt,340,2,9,2022-01-03,0.33,1,356,3,
38632426,Sunny brand new apartment in South Melbourne,156961625,Alicia,,Port Phillip,-37.83088,144.95934,Entire home/apt,150,2,7,2020-03-15,0.25,1,0,0,
38633051,The Bootstrap Pad,38141476,Kasey,,Melbourne,-37.80901,144.96178,Entire home/apt,99,2,33,2021-05-01,1.19,1,1,4,
38633767,TO GOOD TO BE TRUE !!,163242300,Chris,,Maribyrnong,-37.79142,144.87985,Shared room,27,1,5,2019-12-14,0.18,1,0,0,
38636910,CBD- Private room 2 mins walk from Crown Casino,189638246,Ravi,,Melbourne,-37.82554,144.9593,Private room,50,1,4,2019-10-15,0.14,1,0,0,
38641972,【带家具】【亚超，商场，维妈早(夜)市】【墨尔本市中心】Victoria One公寓高层两室一卫,295176705,WaSai,,Melbourne,-37.80772,144.96148,Entire home/apt,120,80,0,,,1,89,0,
38649186,Quirky and Colourful North Melbourne Terrace,834748,Syma,,Melbourne,-37.80416,144.94691,Entire home/apt,200,3,2,2019-11-16,0.08,1,0,0,
38649780,Amazing views! Great Apartment in a Great Location,55324450,Bruce,,Melbourne,-37.8151,144.95352,Entire home/apt,252,1,18,2021-12-18,0.66,57,335,9,
38649884,Marine Sanctuary,11914644,Luxico Holiday Homes,,Port Phillip,-37.87651,144.97585,Entire home/apt,701,1,1,2020-01-03,0.04,44,351,0,
38652325,Private room for a Warm guest,96601959,Leela,,Monash,-37.88438,145.1839,Private room,69,1,0,,,3,342,0,
38653184,Stylish 2-bed 2 bath with free parking+pool+gym+wifi,195707816,Darsh,,Yarra,-37.82006,145.01199,Entire home/apt,220,3,28,2021-11-26,1.00,1,12,8,
38653459,「no.8」 New apartment/1- bedroom/for 1-4 people/CBD,69641549,Yun,,Melbourne,-37.79585,144.94219,Entire home/apt,144,1,32,2021-12-22,1.14,6,74,6,
38654125,Spacious room with easy access to the CBD,295318273,Yen,,Maribyrnong,-37.79233,144.87234,Private room,45,3,34,2021-12-10,1.23,3,357,6,
38654776,"Central 1BR Apartment, view of Port Phillip Bay",57821781,Simon,,Melbourne,-37.82723,144.95541,Entire home/apt,125,10,8,2021-07-15,0.30,1,330,1,
38655165,Newly renovated 3 bedroom home 5km from Melb. CBD,50262127,T,,Moonee Valley,-37.77689,144.92544,Entire home/apt,300,7,0,,,1,109,0,
38657371,"Light-Filled, Modern Escape in a Prime Location",154877871,Justin,,Stonnington,-37.85125,144.99005,Entire home/apt,126,2,42,2021-12-27,1.54,48,325,18,
38660575,The best location - close to the airport & City,205778043,Sanjin,,Maribyrnong,-37.77094,144.88093,Private room,80,3,7,2020-02-10,0.25,1,0,0,
38677855,Port Melbourne Luxury Home,62883370,Aaron,,Port Phillip,-37.83242,144.94555,Entire home/apt,421,2,24,2021-07-14,0.86,2,2,4,
38679338,Wantirna Studio Apartment,292655911,Punthill,,Knox,-37.87025,145.23414,Entire home/apt,152,1,50,2021-12-31,2.09,6,86,36,
38679467,Students Homestay - Peace of mind for parents ^~^,10516864,K,,Whitehorse,-37.80369,145.1338,Private room,28,90,0,,,2,0,0,
38683861,Relaxing Retreat,171108792,Lydia,,Wyndham,-37.8449,144.71508,Entire home/apt,324,2,37,2021-06-20,1.32,2,88,2,
38686429,2BR APT in Southbank /Melbourne/ Crown Casino,265687669,Home,,Melbourne,-37.82595,144.95487,Entire home/apt,186,7,3,2020-01-25,0.12,3,0,0,
38708714,Private room close to the airport,185980423,Laura,,Hume,-37.6677,144.92754,Private room,40,1,3,2019-12-11,0.11,1,0,0,
38710521,Plant-filled Kensington townhouse (free parking),188444932,Olivia,,Melbourne,-37.78877,144.92621,Entire home/apt,203,1,24,2021-12-31,0.93,1,33,10,
38711666,Beautiful glen iris,295983663,Kamna,,Stonnington,-37.85129,145.04212,Shared room,40,30,0,,,1,179,0,
38712928,4 bedroom 2 bathroom house,3264405,Tina,,Manningham,-37.76048,145.08913,Private room,59,3,4,2021-10-31,0.15,1,129,1,
38718977,LADY ONLY-Master room with bathroom - townhouse,106869459,Tina,,Moonee Valley,-37.7808,144.92343,Private room,45,1,8,2020-03-15,0.29,1,0,0,
38731151,Pride Leisure Tudor House *Bose Cinema & SmartTV & StreamMedia & DelonghiBarista & Fireplace* Netflix & Foxtel,34247003,Juliet & Malcom,,Manningham,-37.78594,145.20613,Entire home/apt,605,3,14,2021-07-11,0.51,28,356,3,
38736363,Less than 3 years old with all the trimmings.,296229146,Ross,,Knox,-37.85592,145.23917,Entire home/apt,565,2,0,,,1,179,0,
38738560,Penthouse CBD Apartment,140421118,Danny,,Melbourne,-37.81019,144.96199,Entire home/apt,123,2,63,2021-12-27,2.30,13,145,36,
38739610,"Eureka! Luxury 2 Bed with FREE Wine, Wifi, Netflix & Parking!",213244814,Bradley & Mark,,Melbourne,-37.82054,144.96399,Entire home/apt,294,2,24,2020-05-01,0.86,6,127,0,
38740868,Lovely 2 Bd apartment in amazing location Melb CBD,258493889,Andrea,,Melbourne,-37.80806,144.95916,Entire home/apt,60,1,3,2019-11-10,0.11,1,0,0,
38741914,The Oscar home !  Try me !,52491088,Sophie,,Glen Eira,-37.87656,145.03602,Entire home/apt,154,2,42,2021-12-18,1.51,1,157,17,
38744687,Four seasons in Northcote,8061627,Ruth,,Darebin,-37.76679,144.98967,Entire home/apt,165,2,13,2020-12-13,0.48,1,0,0,
38745279,❤️of Prahran⭐2min walk 2 Chapel🌲Courtyard⭐carpark,117067875,Janet,,Stonnington,-37.84982,144.99104,Entire home/apt,149,2,17,2022-01-03,0.66,1,66,4,
38745324,Pool View Guest House in Hampton,85705998,Ready Set Stay,,Bayside,-37.9368,145.00927,Entire home/apt,190,2,4,2020-03-23,0.15,3,79,0,
