id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,60,1,4,2015-09-12,0.03,1,365,0,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.30,10,0,0,
33111,Million Dollar Views Over Melbourne,143550,Paul,,Melbourne,-37.81997,144.96834,Private room,1000,1,2,2012-01-27,0.02,1,265,0,
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,110,1,171,2021-12-16,1.26,1,313,18,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2018-08-22,1.17,2,0,0,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,218,2021-12-21,1.61,2,308,8,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,79,7,52,2021-08-25,0.39,6,145,1,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,228,2,314,2021-12-27,2.37,1,299,49,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.53,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,176,2021-05-12,1.33,1,357,4,
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93378,145.016,Entire home/apt,300,1,0,,,1,0,0,
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,364,0,
72576,Stunning Fitzroy +private bathroom 'Little George',376675,Ramona,,Yarra,-37.80737,144.98054,Private room,100,2,544,2021-05-24,4.15,2,2,9,
74324,Tamerlane: Architect-designed luxury living,390761,Matt,,Yarra,-37.80275,144.97616,Entire home/apt,303,14,69,2021-12-17,0.85,1,306,2,
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2020-01-26,0.84,1,337,0,
78143,2 bedrooms-ideal for friends/family in quiet area,419767,Julie,,Stonnington,-37.8531,144.99012,Private room,80,2,152,2021-12-28,1.18,1,356,7,
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-03-24,0.64,10,0,0,
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.86971,145.00662,Entire home/apt,125,21,10,2021-03-05,0.20,1,129,1,
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,165,2,261,2021-05-23,2.03,1,336,6,
120487,Garden Bungalow with the Possums,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,97,3,87,2021-08-24,0.70,2,260,6,
133617,Life style on the Beach 豪华的海边生活,646383,Hannah,,Port Phillip,-37.84317,144.94031,Private room,90,3,14,2020-03-01,0.11,1,124,0,
136510,Private Room,668249,Shirley,,Melbourne,-37.77919,144.94041,Private room,48,1,10,2018-09-23,0.20,1,0,0,
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,Ramona,,Yarra,-37.80508,144.97942,Private room,90,2,581,2021-05-08,4.56,2,3,4,
157427,"Stone's Throw Studio, Belgrave",717024,Margaret,,Yarra Ranges,-37.90605,145.35069,Entire home/apt,163,1,45,2021-12-18,0.36,2,329,6,
161033,Healesville Yarra Valley Cottage,770883,Karen,,Yarra Ranges,-37.63282,145.49766,Entire home/apt,95,2,247,2021-12-14,1.96,1,124,10,
161404,"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",772011,Alice,,Banyule,-37.75651,145.03991,Entire home/apt,140,4,45,2022-01-02,0.86,1,55,13,
163077,Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,89,3,59,2020-03-29,0.47,10,0,0,
173426,Beautiful Northcote home with heart -close to city,804527,Tania,,Darebin,-37.76315,144.98578,Private room,40,1,18,2020-01-23,0.14,1,0,0,
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,182833,Diana,,Darebin,-37.69879,145.00193,Private room,35,2,1,2017-05-07,0.02,2,0,0,
210568,"Carnarvon, Armadale/St KldaE/Caulfl",1038237,Ian,,Glen Eira,-37.86898,145.02775,Private room,60,3,22,2019-09-26,0.18,2,0,0,
213348,Large room in quiet Victorian home,689924,Adrian,,Port Phillip,-37.85874,144.98633,Private room,90,3,3,2018-03-25,0.05,1,365,0,
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.7137,145.1238,Private room,40,1,0,,,1,0,0,
229430,ROOM IN MODERN TOWNHOUSE Melbourne,1198300,Daniela,,Boroondara,-37.82995,145.05102,Private room,49,2,23,2015-04-25,0.19,1,8,0,
230790,Clarelee - Belgrave Accommodation,1197236,Clarelee,,Yarra Ranges,-37.90514,145.35261,Entire home/apt,564,2,80,2022-01-01,0.90,2,321,3,
232088,VERY QUIET  2 Bedrooms  2 Bathrooms BIG Kitchen,1214242,Mal,,Moreland,-37.71096,144.9518,Entire home/apt,149,2,21,2020-03-08,0.18,8,275,0,
232812,Parkland apartment on edge of CBD,950667,Rosemary,,Melbourne,-37.7857,144.95616,Entire home/apt,190,2,8,2018-02-28,0.06,1,0,0,
240410,Beautifully Appointed Apt - Central,1260586,Neil,,Melbourne,-37.80594,144.95271,Entire home/apt,135,2,79,2022-01-05,0.69,1,295,3,
244872,Cool spot near chapel st!,605990,Jenny,,Stonnington,-37.85077,145.01013,Private room,73,1,0,,,1,365,0,
244952,Treehouse apartment in Fitzroy,287730,Rebecca,,Yarra,-37.80403,144.97908,Entire home/apt,120,5,289,2021-11-06,2.33,1,252,8,
247140,Self Contained Apartment (CBD Edge),1296115,Fiona,,Melbourne,-37.817,144.9767,Entire home/apt,300,3,84,2021-12-28,0.68,1,327,3,
248235,Gorgeous home with pool. Central location!!,1300846,Ayelet,,Glen Eira,-37.86392,145.01737,Entire home/apt,600,4,14,2021-01-09,0.13,1,8,1,
251354,Inner city Warehouse Garden of Eden,1318256,Elana,,Stonnington,-37.85795,145.02439,Entire home/apt,223,1,8,2020-12-04,0.07,1,90,0,
251965,Private room in Elwood,725136,Nathan,,Port Phillip,-37.87634,144.9886,Entire home/apt,251,1,0,,,1,0,0,
256186,Collingwood 2 bedrm Warehouse Apt,1344893,Hoang And Michael,,Yarra,-37.80182,144.98274,Entire home/apt,120,6,170,2022-01-05,1.40,1,256,13,
263871,In The Heart Of The City- Melbourne,1384456,Eliisa,,Melbourne,-37.81695,144.96295,Entire home/apt,131,7,42,2021-04-16,0.39,1,343,1,
268525,Home 20mins (CBD) near Box Hill (private home),1179603,Anita,,Whitehorse,-37.8129,145.14081,Private room,62,14,0,,,1,271,0,
268620,nice room,1407948,Richard,,Melton,-37.73994,144.73881,Private room,72,1,0,,,1,365,0,
268849,"Unique, Intimately Styled South Yarra Sanctuary",1408673,Little Journey,,Stonnington,-37.83692,144.99285,Entire home/apt,120,1,594,2021-08-08,4.84,3,0,54,
277605,Angelus Retreat @ Mount Dandenong,1448773,Margaret Jiin,,Yarra Ranges,-37.9056,145.39525,Entire home/apt,270,2,14,2021-03-08,0.12,2,361,1,
280698,Elwood SPACIOUS OPEN PLAN EXEC 2BR+PARKING+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.87322,144.98937,Entire home/apt,169,3,62,2020-01-02,0.64,10,0,0,
283257,sunlit studio down a quiet laneway,1475619,Lulu,,Yarra,-37.8044,144.98213,Entire home/apt,140,3,129,2020-03-15,1.48,1,291,0,
284210,Fitzroyalty - stylish and central,1480426,Kate,,Yarra,-37.7985,144.97883,Entire home/apt,245,2,34,2020-03-15,0.36,1,0,0,
289467,The Suite @ Angelus Retreat,1448773,Margaret Jiin,,Yarra Ranges,-37.90546,145.39447,Entire home/apt,280,2,6,2021-12-28,0.08,2,365,1,
297350,"Best, west of Melbourne-Wifi & Spa1",1533260,Ryan,,Brimbank,-37.78374,144.75729,Private room,47,1,284,2021-12-17,2.34,8,359,4,
300679,Comfy room in Oakleigh South Melbourne,1505279,Julie,,Kingston,-37.94,145.09679,Private room,35,2,66,2021-05-07,0.56,1,358,3,
309093,Savour 180-Degree Urban Views at a Triple Level Loft,1349266,Adam + Caro,,Yarra,-37.81973,145.00078,Entire home/apt,245,2,24,2020-02-02,0.65,1,0,0,
313648,"(1) Stylish, East Melb 1bed apt",1612516,Haydn,,Melbourne,-37.81362,144.98665,Entire home/apt,119,6,55,2021-12-19,0.46,5,70,8,
315513,"Best, west of Melbourne-Wifi & spa2",1533260,Ryan,,Brimbank,-37.78374,144.75728,Private room,50,1,100,2020-03-08,0.83,8,359,0,
317239,Inner City Home-6 stops by train to Melbourne CBD,1628602,Jacqueline,,Hobsons Bay,-37.82989,144.87123,Private room,95,3,0,,,1,365,0,
323280,Classic Victorian Armadale Home :) Victorian House,1608157,Fay,,Stonnington,-37.86171,145.02103,Private room,75,1,46,2019-01-23,0.39,3,365,0,
334891,Attractive room in leafy Deepdene,1705701,Veruschka,,Boroondara,-37.81285,145.06378,Private room,85,1,4,2019-02-23,0.05,1,365,0,
363060,SUNLIT Kitchen/Vegie Garden/CLEAN,1835097,Rovielle,,Wyndham,-37.84545,144.71638,Private room,70,3,0,,,1,365,0,
381690,Renovated Art Deco fully furnished,1914257,Shelly,,Port Phillip,-37.86393,144.99824,Entire home/apt,95,7,41,2021-12-05,0.37,1,338,4,
386252,"Room for rent, townhouse in Kew",381584,F,,Boroondara,-37.80883,145.03969,Shared room,100,30,0,,,1,365,0,
394600,Quiet one-bedroom apartment,485320,Julie,,Moreland,-37.7691,144.95304,Entire home/apt,115,2,261,2022-01-05,2.20,1,295,23,
403876,Luxurious Self Contained Pool House,2014143,Abby,,Stonnington,-37.84133,145.03635,Entire home/apt,111,5,262,2022-01-05,2.32,1,3,20,
405515,"PRIVATE UNIT Dble bed   Kitch, own bathroom",1214242,Mal,,Moreland,-37.70988,144.95131,Entire home/apt,89,2,5,2018-09-26,0.04,8,275,0,
406997,Spacious Rm for you or couple 2/43,2027601,Bill,,Stonnington,-37.88426,145.06133,Private room,35,14,62,2021-07-29,0.53,8,80,2,
415272,"Great location! Easy access to CBD, Aus. Open.",228082,Mem,,Boroondara,-37.84633,145.05384,Private room,50,2,1,2019-05-11,0.03,1,0,0,
419490,Very Large 2 Bdrm Apt in Melbourne!,2068905,Victoria,,Moonee Valley,-37.78485,144.92751,Entire home/apt,150,7,3,2016-07-30,0.03,1,0,0,
433779,Room with private courtyard 7,2027601,Bill,,Stonnington,-37.88427,145.06139,Private room,36,21,54,2020-11-30,0.47,8,154,0,
438849,Grand Old Victorian Hawthorn Home,2180044,Ian,,Boroondara,-37.82334,145.05813,Entire home/apt,200,10,4,2017-12-30,0.04,1,0,0,
438899,Uber-Cool Loft-South Melbourne-Wkly&Mthly Pricing,1777499,Belinda,,Port Phillip,-37.83359,144.9648,Entire home/apt,300,2,204,2021-12-20,1.81,1,328,7,
448025,Straw and Earth room in Eco home,2225077,Paul,,Moreland,-37.7369,144.93298,Private room,45,1,25,2019-06-08,0.25,5,178,0,
449585,Need Luxury Homebase in Melbourne 1,2232579,Nola,,Boroondara,-37.80491,145.05325,Private room,100,1,29,2018-03-03,0.27,3,315,0,
453940,Corner room - Private & Lovely Balwyn Nth Home,2255480,Jessica,,Boroondara,-37.79559,145.07892,Private room,40,1,7,2022-01-06,0.26,5,0,5,
456950,St Kilda Bay Views,2271938,Harry,,Port Phillip,-37.85487,144.98223,Entire home/apt,291,5,3,2016-02-15,0.03,1,365,0,
464612,Point Cook Homestay with Private Bathroom,2309055,KC And Serena,,Wyndham,-37.90042,144.72496,Private room,55,3,64,2021-07-01,0.55,1,353,1,
466494,BOUTIQUE STAYS - Victorian Vogue,760849,Boutique Stays Accommodation Group,,Yarra,-37.81788,145.00865,Entire home/apt,654,3,8,2021-06-18,0.11,35,363,1,
479281,BOUTIQUE STAYS - Brighton Rose,760849,Boutique Stays Accommodation Group,,Bayside,-37.90925,144.98976,Entire home/apt,368,5,5,2021-01-24,0.09,35,363,1,
479333,BOUTIQUE STAYS - Clifton Park,760849,Boutique Stays Accommodation Group,,Yarra,-37.78706,145.00282,Entire home/apt,443,3,15,2021-10-15,0.18,35,363,2,
479472,BOUTIQUE STAYS - Sandyside 2,760849,Boutique Stays Accommodation Group,,Bayside,-37.95301,145.01149,Entire home/apt,403,3,8,2021-07-02,0.10,35,363,2,
479736,Belsize Garden Apartment St Kilda,223256,Barbara,,Port Phillip,-37.86947,144.99643,Entire home/apt,178,2,72,2021-05-30,0.66,1,359,9,
483719,Quiet Studio Next to Train Station,9082,Dennis,,Banyule,-37.74209,145.06541,Private room,60,2,27,2019-12-26,0.24,1,286,0,
488819,Brunswick St at your doorstep,1583912,Dave,,Yarra,-37.80345,144.97621,Entire home/apt,155,4,3,2015-11-15,0.03,1,0,0,
492022,BOUTIQUE STAYS – Sandy Haven A,760849,Boutique Stays Accommodation Group,,Bayside,-37.94771,145.00322,Entire home/apt,443,3,10,2021-11-23,0.24,35,326,4,
506491,"Relax! Private, Stylish Loft & Spa!",2496901,Maureen,,Whitehorse,-37.8433,145.13555,Private room,70,2,80,2022-01-06,0.71,1,310,9,
508586,Beautiful Ensuite - convenient & private room,2255480,Jessica,,Boroondara,-37.79363,145.08471,Private room,45,1,10,2021-01-08,0.29,5,342,0,
508590,"Sunlit, Cosy Room in Convenient Location",2255480,Jessica,,Boroondara,-37.794,145.0835,Private room,40,1,7,2022-01-05,0.15,5,342,3,
508594,"Large room - Convenient, Private & Cosy location",2255480,Jessica,,Boroondara,-37.79546,145.08345,Private room,40,1,10,2021-05-03,0.24,5,342,3,
509326,home away from home,2509807,Rob,,Whittlesea,-37.68273,145.02837,Private room,114,1,0,,,1,365,0,
513766,Guest room in a big house,2531069,Sanjeev,,Casey,-38.06865,145.33427,Private room,70,1,0,,,1,365,0,
529347,Thackeray cottage,2601127,Alyce,,Port Phillip,-37.87686,144.97723,Entire home/apt,135,2,94,2018-03-10,1.15,2,172,0,
532347,B&B Guest House with Pool Room 1,2616259,Peter,,Glen Eira,-37.891911,145.076126,Private room,72,2,29,2020-02-14,0.27,3,364,0,
534083,///NEW YORK LIVING..IN ST KILDA STUDIO,2624960,Karen,,Port Phillip,-37.8571,144.98719,Entire home/apt,99,1,183,2021-07-08,1.65,6,60,5,
546849,Private Room with Courtyard 5/45,2027601,Bill,,Stonnington,-37.88428,145.06139,Private room,45,10,33,2020-08-24,0.29,8,154,0,
550716,"(9) City-edge 2bd apt, killer views",1612516,Haydn,,Melbourne,-37.81088,144.98068,Entire home/apt,400,7,0,,,5,14,0,
552797,Stylish Fitzroy Apartment with Cool Brick Arches,2716860,Jess And Kristy,,Yarra,-37.80453,144.97793,Entire home/apt,99,2,73,2020-03-16,0.98,1,0,0,
554087,"Fabulous house, fabulous ST KILDA",2707723,Marjolein,,Port Phillip,-37.85821,144.97428,Private room,153,2,25,2019-02-17,0.22,1,178,0,
557900,Look out over the CBD from a Boutique Flat,1700056,Rodger,,Melbourne,-37.81752,144.96523,Entire home/apt,204,3,172,2022-01-07,1.51,4,305,31,
567486,Spacious modern studio close to City and transport,2792235,Sara,,Boroondara,-37.8344,145.03488,Private room,85,7,13,2019-03-13,0.11,2,358,0,
567941,"Elegant Victorian, Spacious Room",2794092,Jocelyn,,Yarra,-37.80201,144.98757,Private room,75,1,53,2019-03-16,0.47,1,342,0,
571502,Simple but clean and secure room in Carlton!,2812963,Medley,,Melbourne,-37.80686,144.96671,Private room,80,3,15,2019-02-14,0.15,5,37,0,
592162,Right in the heart of the City!,2922619,Dean,,Melbourne,-37.81689,144.95372,Entire home/apt,160,6,53,2020-03-15,0.46,1,0,0,
603007,Spacious apartment near Botanic Gardens,2705870,Lindsay,,Yarra,-37.82952,144.98875,Private room,59,1,21,2020-06-25,0.58,1,0,0,
609602,Spacious rm for you or couple 3/43,2027601,Bill,,Stonnington,-37.88427,145.06133,Private room,35,21,38,2021-08-30,0.35,8,58,3,
621155,Picture Perfect Oasis Richmond,355966,Jas,,Yarra,-37.82101,144.99278,Entire home/apt,105,14,1,2013-09-16,0.01,3,0,0,
628156,"QS bed & PRIVATE bathroom, Gr8 WiFi, TV & Netflix",3119669,James,,Port Phillip,-37.84158,144.93794,Private room,85,3,120,2021-12-29,1.06,1,181,2,
628370,Close to Beach and City - Sleeps 4,2150180,Janine,,Port Phillip,-37.84168,144.94397,Entire home/apt,145,20,29,2021-12-03,0.25,2,254,6,
630189,Warehouse Apartment in heart of Richmond!,3132583,Alistair,,Yarra,-37.82072,145.00029,Entire home/apt,110,3,2,2019-09-15,0.07,1,189,0,
633258,Hip sun drenched Windsor apartment,440653,Rob,,Stonnington,-37.85437,144.99488,Entire home/apt,74,2,17,2018-06-28,0.15,1,0,0,
641180,Cosy Inner City Studio Apartmnt. Spacious. Quiet.,3079228,Anthony,,Moreland,-37.77593,144.96928,Entire home/apt,91,3,327,2021-11-27,2.94,1,196,14,
653384,Need luxury homebase in Melbourne 2,2232579,Nola,,Boroondara,-37.80315,145.05297,Private room,100,1,13,2018-03-25,0.15,3,315,0,
653386,Need Luxury Homebase in Melbourne 3,2232579,Nola,,Boroondara,-37.80319,145.05208,Private room,100,1,10,2018-02-20,0.11,3,314,0,
657209,** Cute Studio on Chapel St**best location,721348,Living Like Locals,,Port Phillip,-37.86177,144.992,Entire home/apt,85,3,109,2021-02-15,0.99,1,8,2,
668738,Stylish Modern Apt_St Kilda Beach,3384635,Susan,,Port Phillip,-37.85946,144.97905,Entire home/apt,120,7,11,2015-09-09,0.10,1,99,0,
671981,Sofabed in Yarraville - nice sub,3395313,Tyler,,Maribyrnong,-37.81555,144.88717,Shared room,100,1,0,,,1,365,0,
690762,Room To Let Next to Chilsom Tafe,3529788,Thomas,,Greater Dandenong,-37.97413,145.21955,Private room,80,1,1,2014-03-01,0.01,1,0,0,
691144,B&B Guest House with Pool Room 3,2616259,Peter,,Glen Eira,-37.89276,145.07586,Private room,68,2,21,2021-03-14,0.19,3,365,1,
692656,B&B Guest House with Pool Room 4,2616259,Peter,,Glen Eira,-37.89133,145.07689,Private room,62,2,32,2021-12-23,0.33,3,179,1,
692694,Windsor Pad with Private Courtyard,3542892,Saskia,,Stonnington,-37.85543,145.00075,Entire home/apt,166,5,70,2021-12-25,0.62,1,26,6,
712261,Charming 1930s Flat East St Kilda,738640,Chelle,,Port Phillip,-37.86827,144.99647,Entire home/apt,95,5,22,2020-12-21,0.20,1,0,0,
739896,3 Level Apartment with Rooftop!,3871035,Phil,,Moreland,-37.77156,144.97461,Entire home/apt,300,2,3,2014-01-03,0.03,1,0,0,
754134,‘COOL’ Apartment Awesome Location Melbourne CBD,3570625,Kim,,Melbourne,-37.8167,144.96608,Entire home/apt,250,5,85,2020-01-30,0.78,2,175,0,
762695,Richmond CENTRAL LOFT STYLE 1BR+PARKING+WIFI+AC,50121,The A2C Team,,Yarra,-37.81552,145.00116,Entire home/apt,99,3,78,2020-03-07,0.83,10,0,0,
768096,Immaculate  and Spacious Apartment,3506639,David,,Melbourne,-37.83398,144.98372,Entire home/apt,135,20,86,2019-12-14,0.78,2,98,0,
771720,Spacious rm for you or couple 2/45,2027601,Bill,,Glen Eira,-37.88538,145.06169,Private room,33,28,30,2020-11-26,0.28,8,313,0,
780196,Snug Seaside Cottage Vic. Aust.,117431,Lorraine,,Hobsons Bay,-37.87135,144.81258,Private room,45,2,134,2021-12-26,1.99,2,286,17,
780441,Prized Parkside Modern City Studio::Suit Long Stay,3377890,Bernadette,,Melbourne,-37.80451,144.96973,Entire home/apt,84,28,65,2021-08-31,0.59,2,228,2,
784043,4 Bedroom Melbourne Urban Retreat,4133993,Kim,,Banyule,-37.73071,145.08995,Entire home/apt,500,5,1,2018-05-05,0.02,4,0,0,
785116,Beach Shack..minutes to the beach..,3579354,Kelly,,Kingston,-38.02886,145.10602,Private room,150,1,0,,,1,365,0,
792570,Spacious Double-Storey Apartment,690940,Gerard,,Melbourne,-37.80931,144.98385,Entire home/apt,150,3,6,2017-01-19,0.06,1,0,0,
806245,Huge bright townhouse with terrace,2792025,Jo,,Maribyrnong,-37.8027,144.89799,Entire home/apt,145,2,279,2021-12-29,2.52,1,287,23,
817054,SouthYarra Designers Delight (2br),3721646,Jen & Alex,,Stonnington,-37.83649,144.99393,Entire home/apt,169,14,34,2017-10-28,0.31,46,335,0,
828906,Family Friendly Share Home,4344982,Dimitrios & Eva,,Stonnington,-37.88161,145.08082,Private room,60,21,0,,,2,365,0,
835730,Lovely pad in funky Brunswick,971810,Sarah & Mike,,Moreland,-37.75707,144.97,Entire home/apt,120,4,206,2021-02-19,1.88,1,183,4,
847063,Cosy 2 bedroom home!,2591026,Melissa,,Darebin,-37.77813,145.02092,Entire home/apt,371,3,10,2017-07-10,0.09,3,173,0,
848793,Farm Stay - Selby- Dandenong Ranges- Cabin 1,3160757,Yvette,,Yarra Ranges,-37.91239,145.38419,Entire home/apt,67,7,21,2022-01-01,0.31,3,25,10,
853643,The Gardener's Cottage,4257468,Carolyn,,Yarra,-37.82742,145.0054,Entire home/apt,286,10,53,2021-02-19,0.56,1,0,1,
865195,Self contained Garden View Studio,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,80,4,79,2021-01-06,0.72,2,194,0,
867464,Seddon (Milkbar)Apartment Melbourne,4542615,Darren & Bruce,,Maribyrnong,-37.80635,144.8996,Entire home/apt,96,2,282,2021-12-22,2.63,2,244,23,
875444,"*Perfectly Located Functional Apt, Steps Away from Albert Park*",4621990,Chris,,Port Phillip,-37.83703,144.9696,Entire home/apt,103,3,184,2021-12-12,1.70,2,145,16,
875913,Richmond CITY EDGE COMFY 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82123,144.99422,Entire home/apt,89,3,78,2020-03-15,0.74,10,0,0,
881242,Beautiful home - Melbourne,2262538,Emma,,Darebin,-37.77543,145.02261,Entire home/apt,240,10,15,2021-08-31,0.15,1,298,1,
887320,Queen bed 10 Mins from Melb Airport,210716,Theresa,,Brimbank,-37.7199,144.85913,Private room,49,1,44,2021-05-28,0.43,2,365,3,
890726,St Kilda Beach Acland St Studio,2423998,Kristina,,Port Phillip,-37.86293,144.97299,Entire home/apt,109,3,224,2022-01-04,2.07,1,158,5,
892787,"(4) 1bd apt, 3 min walk from MCG",1612516,Haydn,,Melbourne,-37.8141,144.98554,Entire home/apt,100,5,51,2020-03-26,0.49,5,47,0,
895688,Comfortable home in quiet suburb,3418238,Carol,,Moonee Valley,-37.74165,144.89594,Private room,87,1,25,2019-03-23,0.23,1,365,0,
900838,New York style Loft in Melbourne,4812182,Jo,,Yarra,-37.8232,144.99251,Entire home/apt,232,803,142,2017-07-30,1.32,1,0,0,
905969,"Explore Fitzroy from Delightful, Light House",4848120,Katrina,,Yarra,-37.80358,144.98161,Entire home/apt,259,2,102,2021-11-28,1.04,4,307,13,
911079,Leigh's Place,4910818,Leigh,,Stonnington,-37.84943,145.00026,Private room,85,1,18,2019-11-14,0.19,1,88,0,
911167,Relaxing room on the Eastern side,4889343,Zoltan And Beata,,Knox,-37.93379,145.2414,Private room,55,1,116,2021-10-07,1.08,2,0,7,
920179,Caretaker's Cottage,4944974,Mr Brett,,Yarra Ranges,-37.85131,145.36311,Entire home/apt,219,2,33,2021-06-27,0.32,7,106,6,
921611,"Boutique Stylish Penthouse Apartment, Centre CBD Melbourne",3570625,Kim,,Melbourne,-37.81583,144.96628,Entire home/apt,206,30,137,2021-06-02,1.27,2,175,1,
926682,CBD Studio + Heated Rooftop Pool (I),4986236,John,,Melbourne,-37.80903,144.96444,Entire home/apt,71,14,190,2021-12-23,1.92,3,208,8,
930037,Villetta (Luxury Apartment) in heart of Carlton,5009174,Andrea,,Melbourne,-37.79585,144.96769,Entire home/apt,145,3,236,2021-01-10,2.20,1,254,1,
948081,A cocoon in the heart of St Kilda,5140385,Lisa,,Port Phillip,-37.86504,144.985,Private room,75,2,63,2020-06-14,0.59,1,227,0,
952100,Central and Cosy Balcony Pad in Trendy Northcote,335130912,Ruth,,Darebin,-37.76733,144.99976,Entire home/apt,107,2,165,2021-11-16,1.55,18,159,20,
954106,Carr's Cottage Ringwood North,5181787,Judy,,Maroondah,-37.79804,145.22272,Entire home/apt,89,7,170,2021-12-18,1.68,1,271,8,
958631,Riverside Retreat #2 - Private bathroom + WiFi,5216487,Nic,,Yarra,-37.78453,145.01694,Private room,78,1,71,2021-12-11,0.81,2,365,2,
960498,"Close to City,MCG,Rod Laver Arena, Parks,Gardens",5229572,Roy,,Melbourne,-37.8171,144.97784,Entire home/apt,249,2,23,2020-01-27,0.22,3,167,0,
964548,Melb PenthouseApart.(2BR+WIFI+CARP),3721646,Jen & Alex,,Port Phillip,-37.83618,144.9738,Entire home/apt,173,5,81,2018-03-04,0.75,46,336,0,
964968,Lovely Room Awesome Location,4731740,Eugénie,,Stonnington,-37.84875,145.00185,Private room,80,2,46,2018-06-05,0.51,1,135,0,
978562,Best West of Melbourne WiFi & Spa 3,1533260,Ryan,,Brimbank,-37.78374,144.75728,Private room,50,1,132,2020-03-29,1.30,8,354,0,
980716,Small Home in a bush setting,5370551,Lyn,,Nillumbik,-37.67788,145.16531,Private room,60,1,58,2021-06-28,0.55,1,341,3,
982577,Stylish Studio Apartment in Toorak,3705064,Ardhene,,Stonnington,-37.84299,145.00974,Entire home/apt,70,7,44,2019-11-29,0.44,1,357,0,
984021,"(2) Stylish, East Melb 1bed apt",1612516,Haydn,,Melbourne,-37.8136,144.98676,Entire home/apt,80,6,35,2021-05-22,0.36,5,0,5,
985656,Amazing Malvern,1038237,Ian,,Glen Eira,-37.86894,145.02799,Private room,51,3,18,2020-03-08,0.19,2,40,0,
986403,beach boulevard city skyline,3004635,Dorothy,,Port Phillip,-37.85683,144.96707,Private room,85,3,131,2021-12-14,1.24,1,294,2,
988366,"Ravishing Richmond, Beautiful Bowen",5425629,Bella,,Yarra,-37.816,144.99428,Private room,70,4,200,2020-03-19,1.93,1,55,0,
990795,19th Century Terrace with Ensuites,5441565,IanJ,,Melbourne,-37.80148,144.96877,Private room,110,3,22,2020-02-24,0.22,1,365,0,
993103,"Edwardian B&B ensuite,5star! Zone 1",1706376,Suzanne,,Glen Eira,-37.88865,145.06716,Private room,68,2,29,2020-02-02,0.30,1,364,0,
997517,Kanturk Country Retreat hideaway,5247469,Sally (And Gary),,Frankston,-38.18977,145.2091,Private room,1600,2,18,2019-04-21,0.18,3,68,0,
999305,"Stroll to Monash Uni, Clayton, Victoria. Melbourne",5492859,Henry,,Monash,-37.91952,145.13111,Private room,42,2,5,2018-09-17,0.05,6,283,0,
1002094,Heart of the CBD,1764883,Jacqui And David,,Melbourne,-37.81059,144.97182,Entire home/apt,173,4,108,2020-03-15,1.03,1,364,0,
1004260,Apartment in Fitzroy Melbourne,5523791,Jonathan,,Yarra,-37.80142,144.97601,Entire home/apt,100,1,1,2017-12-22,0.02,1,0,0,
1009526,Central South Yarra Comfy Apartment,5553732,Peter And Pam,,Stonnington,-37.8396,145.00007,Private room,80,2,42,2017-10-22,0.42,1,0,0,
